Using device: cuda
[Ep 390] R=13.0  Steps=920640  ε=0.0100
[Ep 391] R=14.0  Steps=923311  ε=0.0100
[Ep 392] R=17.0  Steps=925674  ε=0.0100
[Ep 393] R= 9.0  Steps=929039  ε=0.0100
[Train 880000] loss=0.0018
[Ep 394] R= 9.0  Steps=932060  ε=0.0100
[Ep 395] R=12.0  Steps=935117  ε=0.0100
[Ep 396] R=10.0  Steps=938220  ε=0.0100
[Train 890000] loss=0.0027
[Ep 397] R= 6.0  Steps=941650  ε=0.0100
[Ep 398] R=11.0  Steps=944772  ε=0.0100
[Ep 399] R=14.0  Steps=947384  ε=0.0100
*** (avg_R=12.05) ***
[Train 900000] loss=0.0019
[Ep 400] R=15.0  Steps=950048  ε=0.0100
[Ep 401] R=10.0  Steps=952829  ε=0.0100
[Ep 402] R= 6.0  Steps=956286  ε=0.0100
[Ep 403] R=13.0  Steps=959286  ε=0.0100
[Train 910000] loss=0.0044
